AQS_ID,AQS_ID_Dashes,MPCAID,City,Site_Name,Report_Name,RegionName,ReportRegion2,Address,Date.Site.Established,Date.Site.Closed,County,County.Code,FIPS,UTM_easting,UTM_north,lat,long
270750005,27-075-0005,7001,Ely,Fernberg Rd.,Ely,Northern,Northern,Fernberg Road,1/1/1977,,Lake,75,27075,612337,5311462,47.94661,-91.495590000000007
270953051,27-095-3051,3051,Mille Lacs,Mille Lacs,Mille Lacs,Central,Tribal,HCR 67 BOX 194,6/17/1997,,Mille Lacs,95,27095,441415,5117127,46.2052,-93.75941
271230017,27-123-0017,816,St. Paul,Holman Field,St. Paul-Holman Field,Metro,Urban,HOLMAN FIELD,1/1/1966,1/1/2007,Ramsey,123,27123,494862,4976512,44.94202,-93.06512
271230021,27-123-0021,820,St. Paul,Ross Ave.,St. Paul-Ross Ave,Metro,Urban,1038 Ross Ave,1/1/1966,12/31/2007,Ramsey,123,27123,495549,4979214,44.96635,-93.05644
271230818,27-123-0818,818,St. Paul,St. Paul -Downtown Airport,St. Paul -Downtown Airport,Metro,Urban,719 Eaton St,,,Ramsey,123,,,,44.9268,-93.0593
271230866,27-123-0866,866,St. Paul,Red Rock Road,St. Paul-Red Rock Road,Metro,Urban,1450 Red Rock Rd,12/19/1995,,Ramsey,123,27123,498647,4971773,44.89938,-93.01714
271230868,27-123-0868,868,St. Paul,Ramsey Health Center,St. Paul-Ramsey Cnty Public Health,Metro,Urban,555 Cedar St,2/17/1998,,Ramsey,123,27123,492232,4977473,44.95065017,-93.09847505
271230871,27-123-0871,871,St. Paul,Harding High School,St. Paul-Harding High School,Metro,Urban,1540 East 6th St.,10/2/1998,,Ramsey,123,27123,497169,4978434,44.95933791,-93.03589404
271230874,27-123-0874,874,St. Paul,Gopher Ethanol,St. Paul-Gopher Ethanol,Metro,Urban,340 Colborne St.,6/1/2004,,Washington,163,27163,490584,4975233,44.9311,-93.1183
271231003,27-123-1003,801,St. Paul,Vandalia St.,St. Paul-Vandalia St.,Metro,Urban,2179 University Ave,1/1/1965,,Ramsey,123,27123,484997,4978667,44.96128,-93.19023
271231902,27-123-1902,1902,St. Paul,St. Paul: Thomas-Dale,St. Paul: Thomas-Dale,Metro,Urban,33 North Dale St,,,Ramsey,123,27123,489986.9,4978211,44.95726,-93.12695
271231903,27-123-1903,1903,St. Paul,St. Paul- West Side,St. Paul- West Side,Metro,Urban,401 Concord Street,,,Ramsey,123,27123,494671,4974879,44.92732,-93.06753
271231907,27-123-1907,1907,St. Paul,St. Paul - East Side,St. Paul - East Side,Metro,Urban,409 Case Ave E,,,Ramsey,123,27123,,,44.97154,-93.08298
271231908,27-123-1908,1908,St. Paul,St. Paul - South St. Anthony Park,St. Paul - South St. Anthony Park,Metro,Urban,2265 Robbins Street,,,Ramsey,123,,,,44.973096,-93.199879
271377001,27-137-7001,1300,Virginia,Virginia,Virginia,Northern,Northern,327 First St. S,1/1/1968,,St. Louis,137,27137,534908,5263193,47.52123,-92.53631
271377549,27-137-7549,7549,Duluth,Michigan St.,Duluth-Michigan St.,Northern,Northern,1532 W Michigan St,1/2/1994,,St. Louis,137,27137,567232,5179911,46.76936,-92.11945
271377554,27-137-7554,7554,Duluth,Duluth-Laura MacArthur School,Duluth - Laura MacArthurs,Northern,Northern,720 North Central Ave,,,St. Lous,137,27137,563700,5177016,46.74366,-92.1661
271377555,27-137-7555,7555,Duluth,Waseca Road,Duluth-Waseca Rd.,Northern,Northern,Industrial Road,7/30/2001,,St. Louis,137,27137,563924,5175563,46.73056,-92.16337
271453053,27-145-3053,3053,St. Cloud,Grede Foundries,St. Cloud-Grede Foundaries,Central,Industrial,5200 Foundry Circle,1/1/2010,,Stearns,145,27145,404299,5046409,45.56464,-94.22635
271630009,27-163-0009,435,St. Paul Park,MPC 435,St. Paul Park Refinery 435,Metro,Industrial,7th Ave & 5th St.,1/1/1982,,Washington,163,27163,500341,4965871,44.84625,-92.99568
271630436,27-163-0436,436,St. Paul Park,MPC 436,St. Paul Park Refinery 436,Metro,Industrial,649 5th St,2/27/1989,,Washington,163,27163,500348,4965992,44.84734,-92.9956
271630438,27-163-0438,438,Newport,MPC 438,Newport-St. Paul Park Refinery 438,Metro,Industrial,4th Ave & 2nd St.,6/14/1995,,Washington,163,27163,499725,4967385,44.85988,-93.00348
271630445,27-163-0445,445,Bayport,Anderson School,Bayport-Anderson School,Metro,Suburban,309 N. Fourth St.,1/1/2007,7/1/2008,Washington,163,27163,517312,4985065,45.01882,-92.78028
271630446,27-163-0446,446,Bayport,Point Rd.,Bayport-Point Rd,Metro,Industrial,22 Point Rd.,5/17/2007,,Washington,163,27163,517823,4986085,45.02799,-92.77375
